City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Port Blair,IN,11.6667,92.75,81.21,80,45,3.18,scattered clouds
189,Faanui,PF,-16.4833,-151.75,79.29,73,6,22.19,clear sky
190,Waitati,NZ,-45.75,170.5667,47.8,68,70,6.6,broken clouds
191,Husavik,IS,66.0449,-17.3389,49.57,84,46,4.41,scattered clouds
192,Trelleborg,SE,55.3751,13.1569,55.35,74,30,4.74,scattered clouds
193,Sale,MA,34.0389,-6.8166,72.75,100,20,3.44,few clouds
194,Hami,CN,42.8,93.45,87.33,13,94,10.76,overcast clouds
195,Hasaki,JP,35.7333,140.8333,86.4,78,35,12.17,scattered clouds
196,Ponta Delgada,PT,37.7333,-25.6667,72.32,78,75,4.61,broken clouds
197,Margate,GB,51.3813,1.3862,63.7,79,73,1.99,broken clouds
198,Areosa,PT,41.7178,-8.8571,62.67,92,0,10.85,clear sky
199,Tabas,IR,33.5959,56.9244,90.79,22,66,2.37,broken clouds
200,Port Shepstone,ZA,-30.7414,30.455,63.36,86,70,8.39,broken clouds
201,Norman Wells,CA,65.282,-126.8329,63.66,48,71,4.03,broken clouds
202,Morondava,MG,-20.2833,44.2833,68.54,77,0,4.0,clear sky
203,Terney,RU,45.0503,136.6092,77.11,78,92,4.76,overcast clouds
204,Daura,NG,11.5538,11.4085,74.53,79,75,7.02,broken clouds
205,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,89,11,3.29,few clouds
206,Kirakira,SB,-10.4544,161.9205,82.31,77,58,8.21,broken clouds
207,Berlevag,NO,70.8578,29.0864,48.2,87,100,10.36,light intensity drizzle
208,Jining,CN,35.405,116.5814,79.0,1,8,2.53,clear sky
209,Nipawin,CA,53.3668,-104.0009,73.62,51,14,8.03,few clouds
210,Olafsvik,IS,64.8945,-23.7142,44.91,76,90,16.13,overcast clouds
211,Taoudenni,ML,22.6783,-3.9836,105.17,13,76,7.9,broken clouds
212,Valparaiso,CL,-33.0393,-71.6273,58.64,71,0,2.3,clear sky
213,Pimentel,PE,-6.8367,-79.9342,62.73,85,24,14.27,few clouds
214,Gimli,CA,50.6336,-96.9907,68.59,64,44,9.89,scattered clouds
215,Grindavik,IS,63.8424,-22.4338,46.87,93,100,12.66,overcast clouds
216,Takab,IR,36.4009,47.1133,68.27,65,0,4.5,clear sky
217,Ekibastuz,KZ,51.6667,75.3667,70.09,58,42,4.38,scattered clouds
218,Cururupu,BR,-1.8283,-44.8683,74.52,90,25,3.31,scattered clouds
219,Mocajuba,BR,-2.5842,-49.5072,79.86,58,54,2.84,broken clouds
220,Bilibino,RU,68.0546,166.4372,57.49,42,20,11.7,few clouds
221,Esmeralda,CU,21.8525,-78.1169,78.78,80,7,10.78,clear sky
222,Muchkapskiy,RU,51.8513,42.4717,66.72,77,62,6.53,broken clouds
223,Lata,PT,40.1629,-8.3327,58.19,98,2,2.98,clear sky
224,Bathsheba,BB,13.2167,-59.5167,81.21,85,40,13.8,scattered clouds
225,Rawson,AR,-43.3002,-65.1023,49.05,55,3,23.13,clear sky
226,Severo-Kurilsk,RU,50.6789,156.125,55.45,87,86,9.04,overcast clouds
227,Kieta,PG,-6.2167,155.6333,81.57,77,55,3.27,moderate rain
228,Dingle,PH,10.9995,122.6711,82.71,81,100,8.84,overcast clouds
229,Alofi,NU,-19.0595,-169.9187,76.91,79,38,21.14,scattered clouds
230,Hastings,GB,50.8552,0.5729,62.92,83,42,10.96,scattered clouds
231,Port Hardy,CA,50.6996,-127.4199,73.58,64,0,9.22,clear sky
232,Souillac,MU,-20.5167,57.5167,68.14,82,4,9.78,clear sky
233,Bac Lieu,VN,9.285,105.7244,81.88,81,16,6.49,few clouds
234,Vallenar,CL,-28.5708,-70.7581,62.4,51,87,2.1,overcast clouds
235,Barra Do Bugres,BR,-15.0725,-57.1811,74.61,32,36,3.09,scattered clouds
236,Honiara,SB,-9.4333,159.95,86.58,61,45,7.34,scattered clouds
237,Yenagoa,NG,4.9247,6.2642,72.73,95,100,4.0,overcast clouds
238,Novooleksiyivka,UA,46.2269,34.6428,74.88,61,3,3.42,clear sky
239,Guerrero Negro,MX,27.9769,-114.0611,75.13,64,24,15.93,few clouds
240,Urumqi,CN,43.801,87.6005,76.15,36,0,6.71,light rain
241,Tarrafal,CV,15.2833,-23.7667,83.19,83,4,14.41,clear sky
242,Vostok,RU,46.4856,135.8833,78.28,69,100,1.63,overcast clouds
243,San Carlos Del Zulia,VE,9.0,-71.9135,74.73,91,86,8.37,overcast clouds
244,Soyo,AO,-6.1349,12.3689,69.53,88,46,5.03,scattered clouds
245,Arshan,RU,46.2732,44.22,73.78,53,0,6.71,clear sky
246,Dikson,RU,73.5069,80.5464,44.01,100,100,17.18,overcast clouds
247,Bengkulu,ID,-3.8004,102.2655,75.52,86,95,4.23,overcast clouds
248,Talnakh,RU,69.4865,88.3972,56.21,63,1,9.86,clear sky
249,Humaita,BR,-7.5061,-63.0208,78.28,40,0,1.28,clear sky
250,Vitim,RU,59.4511,112.5578,66.06,85,98,6.2,overcast clouds
251,Batangafo,CF,7.3008,18.2833,68.83,99,99,3.56,overcast clouds
252,Puerto Colombia,CO,10.9878,-74.9547,78.89,87,100,5.46,overcast clouds
253,Carnarvon,AU,-24.8667,113.6333,70.5,58,98,3.11,overcast clouds
254,Finnsnes,NO,69.2296,17.9811,47.01,88,58,3.6,light rain
255,Maceio,BR,-9.6658,-35.7353,73.96,87,20,4.68,few clouds
256,Gandajika,CD,-6.75,23.95,71.22,37,81,4.83,broken clouds
257,Bambous Virieux,MU,-20.3428,57.7575,69.22,76,9,11.36,clear sky
258,Dzaoudzi,YT,-12.7887,45.2699,69.69,94,0,3.44,clear sky
259,Samarinda,ID,-0.5,117.15,76.44,94,95,2.33,overcast clouds
260,Kefamenanu,ID,-9.4467,124.4781,72.19,67,91,8.95,overcast clouds
261,Mpika,ZM,-11.8343,31.4529,52.29,67,35,8.34,scattered clouds
262,Buala,SB,-8.145,159.5921,84.56,69,51,10.04,light rain
263,Broken Hill,AU,-31.95,141.4333,50.5,42,100,8.1,overcast clouds
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.1,84,21,21.77,few clouds
265,Kavaratti,IN,10.5669,72.642,81.28,81,100,17.36,overcast clouds
266,San Cristobal,VE,7.7669,-72.225,66.25,98,88,1.79,overcast clouds
267,Moerai,PF,-22.4333,-151.3333,73.22,81,81,25.08,light rain
268,Oranjemund,NA,-28.55,16.4333,56.57,73,74,8.95,broken clouds
269,Lianran,CN,24.9227,102.485,64.62,92,24,0.78,few clouds
270,Korem,ET,12.5058,39.5228,57.79,77,100,5.46,light rain
271,Ust-Karsk,RU,52.7011,118.8077,67.12,61,3,4.54,clear sky
272,Yulara,AU,-25.2406,130.9889,53.4,30,86,11.79,overcast clouds
273,Karpathos,GR,35.507,27.2132,75.16,78,0,20.71,clear sky
274,Ixtapa,MX,20.7,-105.2,85.23,66,75,9.22,broken clouds
275,Salisbury,GB,51.0693,-1.7957,61.02,71,75,2.3,broken clouds
276,Tigil,RU,57.8,158.6667,59.85,49,81,7.25,broken clouds
277,Gushikawa,JP,26.3544,127.8686,87.03,79,20,9.22,few clouds
278,Sarmanovo,RU,55.2553,52.5891,59.68,85,99,3.47,overcast clouds
279,Aracati,BR,-4.5617,-37.7697,79.34,80,63,14.03,broken clouds
280,Ngorongoro,TZ,-3.2397,35.4875,46.71,91,26,6.08,scattered clouds
281,Jeremie,HT,18.65,-74.1167,80.28,76,59,3.71,broken clouds
282,Verkhoyansk,RU,67.5447,133.385,82.26,39,67,2.3,broken clouds
283,Buarcos,PT,40.166,-8.8768,67.66,91,0,13.04,clear sky
284,Hutchinson,US,38.0608,-97.9298,83.52,65,0,5.75,clear sky
285,Nesna,NO,66.1967,13.0213,52.66,74,63,4.83,broken clouds
286,Chingirlau,KZ,51.095,54.0814,70.41,68,43,5.86,scattered clouds
287,Tambo Grande,PE,-4.9269,-80.3447,78.28,48,2,14.36,clear sky
288,Farafenni,GM,13.5667,-15.6,78.69,84,61,9.66,broken clouds
289,San Lorenzo De El Escorial,ES,40.5914,-4.1474,78.98,37,3,5.39,clear sky
290,Altay,CN,47.8667,88.1167,69.69,39,18,4.09,few clouds
291,Sabang,ID,5.8933,95.3214,80.38,80,100,19.66,overcast clouds
292,Jaguey Grande,CU,22.5269,-81.1286,83.52,64,1,11.86,clear sky
293,Dzhida,RU,50.6772,106.1806,60.91,69,29,2.71,scattered clouds
294,Bardiyah,LY,31.7561,25.0865,77.16,82,0,9.6,clear sky
295,Raudeberg,NO,61.9875,5.1352,54.27,76,71,3.71,broken clouds
296,San Patricio,US,28.017,-97.5169,92.12,58,46,17.29,scattered clouds
297,Bousso,TD,10.4795,16.7117,74.01,90,88,5.64,overcast clouds
298,Sanming,CN,26.2486,117.6186,82.29,78,79,0.22,broken clouds
299,Kuopio,FI,62.8924,27.677,57.15,82,20,10.36,few clouds
300,Puerto Leguizamo,CO,-0.1934,-74.7819,70.45,94,94,2.95,overcast clouds
301,Mogadishu,SO,2.0371,45.3438,75.54,85,42,16.37,light rain
302,Guaruja,BR,-23.9931,-46.2564,74.84,69,71,3.0,broken clouds
303,Lindsay,US,36.203,-119.0882,101.77,21,0,6.91,clear sky
304,Cusuna,HN,15.85,-85.2333,80.51,78,69,9.69,broken clouds
305,Barysh,RU,53.6553,47.1123,62.37,83,8,3.13,clear sky
306,Portland,US,45.5234,-122.6762,100.94,43,20,10.36,few clouds
