City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Lieksa,FI,2022-07-20 22:01:47,63.3167,30.0167,60.06,90,27,8.21
108,Taoudenni,ML,2022-07-20 22:01:48,22.6783,-3.9836,94.84,34,55,17.54
109,Atambua,ID,2022-07-20 22:01:48,-9.1061,124.8925,69.73,90,100,4.7
110,Yomou,GN,2022-07-20 22:01:48,7.5603,-9.2653,68.2,98,100,3.27
111,Vila Franca Do Campo,PT,2022-07-20 22:01:49,37.7167,-25.4333,70.21,84,53,1.77
112,West Bay,KY,2022-07-20 22:01:49,19.3667,-81.4167,88.0,77,8,9.37
113,Gat,IL,2022-07-20 21:58:22,31.61,34.7642,79.48,100,0,4.23
114,Morros,BR,2022-07-20 22:01:50,-9.4467,-46.3003,76.8,29,3,3.65
115,Saint-Augustin,CA,2022-07-20 21:58:44,51.226,-58.6502,56.91,87,100,14.16
116,Griffith,US,2022-07-20 22:01:51,41.5284,-87.4237,87.06,57,75,16.11
117,Vardo,NO,2022-07-20 21:57:09,70.3705,31.1107,51.78,93,100,0.0
118,Laguna,US,2022-07-20 22:01:52,38.421,-121.4238,104.09,23,0,8.05
119,Tiksi,RU,2022-07-20 22:01:52,71.6872,128.8694,39.09,88,86,19.84
120,Presidencia Roque Saenz Pena,AR,2022-07-20 22:01:53,-26.7852,-60.4388,75.09,57,13,5.84
121,Altamont,US,2022-07-20 22:01:53,42.2068,-121.7372,93.78,16,0,8.05
122,Asau,RO,2022-07-20 22:01:54,46.4333,26.4,70.72,61,19,5.55
123,Henties Bay,NA,2022-07-20 22:01:54,-22.116,14.2845,54.84,87,0,6.44
124,Edson,CA,2022-07-20 22:01:04,53.5835,-116.4356,79.56,20,10,6.82
125,Iqaluit,CA,2022-07-20 22:01:55,63.7506,-68.5145,47.7,87,100,3.0
126,Zaltan,LY,2022-07-20 22:01:55,32.947,11.8665,80.17,70,0,14.47
127,Knyaze-Volkonskoye,RU,2022-07-20 22:01:55,48.4642,135.4567,68.34,89,91,7.99
128,Port Elizabeth,ZA,2022-07-20 21:58:23,-33.918,25.5701,56.1,94,75,6.91
129,Westport,US,2022-07-20 21:59:04,41.1415,-73.3579,97.3,51,26,5.01
130,Mhlambanyatsi,SZ,2022-07-20 22:01:56,-26.45,31.0167,48.47,87,16,0.81
