City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Lompoc,US,84.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
420,Praxedis Guerrero,MX,94.46,clear sky,31.3667,-106.0167,Congregación placitas de Otero
425,Yatou,CN,81.21,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
430,Saint Anthony,US,75.13,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
441,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
457,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
460,Lodwar,KE,79.34,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
461,Bikaner,IN,83.44,overcast clouds,28.0167,73.3,The Laxmi Niwas Palace
462,Nizwa,OM,78.46,overcast clouds,22.9333,57.5333,Orient Apartments
464,Dicabisagan,PH,82.08,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
465,Glendive,US,86.49,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
469,Tezu,IN,76.41,overcast clouds,27.9167,96.1667,Circuit House
470,Ramhormoz,IR,90.12,overcast clouds,31.28,49.6035,کافی نت کاریزما
473,Ottawa,CA,76.03,few clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
474,Buraydah,SA,93.65,overcast clouds,26.326,43.975,Mövenpick Qassim
475,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
476,Amahai,ID,77.27,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
477,Jibuti,DJ,83.48,light rain,11.5,42.5,Orchid Main Camp Goubet
479,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
482,Paredon,MX,82.76,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
484,Wanxian,CN,81.77,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
485,Guanica,PR,82.98,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
488,Mandera,KE,75.31,few clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
492,Dafeng,CN,81.84,overcast clouds,23.4517,108.5881,Shenglong Hotel
496,Ciudad Bolivar,VE,84.96,overcast clouds,8.1222,-63.5497,Hotel Edi
502,Shaunavon,CA,80.06,clear sky,49.6501,-108.4181,Bear's Den Lodge
504,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
506,Sinnamary,GF,77.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
508,Kazerun,IR,80.15,overcast clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
511,Kutum,SD,76.84,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
512,Jiamusi,CN,79.3,overcast clouds,46.8333,130.35,Riversky Hotel
516,Vanimo,PG,81.91,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
517,Kathu,TH,86.7,broken clouds,7.9178,98.3332,Novotel Phuket Resort
520,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
525,Takhli,TH,79.95,overcast clouds,15.2634,100.3438,บ้านเพลิน
526,Najran,SA,86.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
528,Kuryk,KZ,75.79,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
532,Bandar-E Lengeh,IR,87.91,clear sky,26.5579,54.8807,کافی نت پارس
537,Roma,US,77.14,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
541,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
544,Sampit,ID,75.7,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
549,Rancho Palos Verdes,US,86.05,scattered clouds,33.7445,-118.387,Terranea Resort
550,Palmer,US,81.77,very heavy rain,42.1584,-72.3287,Wedgewood Motel
553,Ambagarh Chauki,IN,76.46,overcast clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
557,Itoman,JP,87.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
559,Barcelona,ES,79.32,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
560,Pimenta Bueno,BR,76.73,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
563,Batticaloa,LK,76.71,moderate rain,7.7102,81.6924,Grand Star Guest House
564,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
566,Smithers,CA,89.92,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
569,Ushtobe,KZ,75.11,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
571,Ko Samui,TH,80.51,few clouds,9.5357,99.9357,The Passage
573,Gorontalo,ID,76.05,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
